Unnamed: 0,wav_file,label,sig_mean,sig_std,rmse_mean,rmse_std,silence,harmonic,auto_corr_max,auto_corr_std
2108,Ses02M_impro02_M007,2,0.009149577409287783,0.010922689277600896,0.009431478793788426,0.014420540572849814,0.339640768588137,0.1723187337970115,0.00019154470452955135,0.00014822219829152777
1072,Ses05M_impro07_M021,1,0.027698752622800502,0.05376372382327054,0.028941726232280744,0.09800562580313305,0.5515187969924812,0.17178858443975198,0.004662062994686934,0.002484438027936695
2459,Ses02F_script01_3_F013,1,0.007549738734287329,0.008599388683961057,0.007709387906207874,0.010733923611117361,0.2676188077850127,0.17118175960491605,0.00012218271171458392,0.00011166058929500752
3317,Ses02M_script01_3_F027,2,0.019979990356765193,0.024935046219187358,0.019884772458214208,0.03600319115468875,0.48333949628168776,0.1713947077735479,0.0008805696897003953,0.0017564081683799462
1253,Ses01M_impro02_M025,2,0.00736731450831757,0.007856381401458551,0.007482060112755576,0.008271932242797136,0.0,0.17048876908067725,9.923916938052996e-05,0.00010265986284438972
2315,Ses02M_script02_1_M005,1,0.022376028270494418,0.030890706377564796,0.023175144490636054,0.047225047069292626,0.4864382029453799,0.17199319520977488,0.0014049907245235703,0.001611122463279821
1561,Ses04F_script01_1_F036,0,0.05857903485499957,0.07857268733886526,0.06070741641094332,0.11488195666318578,0.4614153627311522,0.17080925168753117,0.008362739329679675,0.005900419887230209
987,Ses01F_impro03_M021,5,0.024381902584817698,0.03256370210341878,0.02520026794074973,0.0482588509971562,0.34911955212707096,0.1724741318119648,0.001533669426757367,0.001204273828315741
235,Ses01F_impro04_M017,5,0.05394276636420197,0.0674686416116906,0.056462361474680756,0.08902233188084592,0.29440886166032354,0.17287101993733378,0.005973496485836294,0.0054139585682005855
457,Ses01M_impro06_F007,5,0.010203704041155417,0.012667595210242808,0.010401065812189603,0.018043104667209806,0.00681021926544104,0.17017519660945482,0.00025668982808688703,0.00022956520079738373
1519,Ses05F_impro03_M012,1,0.043165468955095265,0.04592356689345526,0.04448789977193782,0.0432588232062579,0.10323427616660691,0.1723524566005292,0.0024658361008370222,0.0021265299953310978
600,Ses05F_impro05_M036,5,0.02194334248287154,0.028046124633883018,0.022533629879439368,0.03996322410074884,0.4604035862853009,0.1717791053194936,0.0011190702494738663,0.0011138741368467162
2505,Ses02F_script01_3_M029,2,0.01398438307359256,0.02142573840592761,0.015227808525503993,0.034734265245040793,0.5859441151566469,0.17189470865164516,0.0007460810569062553,0.0012502143182366598
1074,Ses01M_script02_1_M028,0,0.05037564086682328,0.07055569832186308,0.052139170098318394,0.10785393109975698,0.5787961026827423,0.1721595232995534,0.006963290116602265,0.010364724112222347
433,Ses04M_impro06_M018,2,0.005190489950400024,0.007745543140189579,0.005426426351088214,0.013484172860932439,0.30111893907998344,0.1708495919867488,0.00012058491331991243,0.00015639608820554817
